setId,id,prompt,choice1,choice2,choice3,choice4,choice5,choice6,correctAnswers,select
practice-test-1,1,Which of the following answers can be used to describe technical security controls?,Focused on protecting material assets,Sometimes called logical security controls,Executed by computer systems,Also known as administrative controls,Implemented with technology,Primarily implemented by people,Sometimes called logical security controls;Executed by computer systems;Implemented with technology,3
practice-test-1,2,Which of the answers listed below refer to examples of technical security controls?,Security audits,Encryption,Organizational security policy,IDSs,Configuration management,Firewalls,Encryption;IDSs;Firewalls,3
practice-test-1,3,Which of the following answers refer to the characteristic features of managerial security controls?,Also known as administrative controls,Sometimes referred to as logical security controls,Focused on reducing risk,Executed by computer systems,Documented in written policies,Focused on protecting material assets,Also known as administrative controls;Focused on reducing risk;Documented in written policies,3
practice-test-1,4,Examples of managerial security controls include:,Configuration management,Data backups,Organizational security policy,Risk assessments,Security awareness training,,Organizational security policy;Risk assessments;Security awareness training,3
practice-test-1,5,Which of the answers listed below can be used to describe operational security controls?,Also known as administrative controls,Focused on day-to-day procedures,Executed by computer systems,Ensures equipment works as specified,Focused on managing risk,Implemented by people,Focused on day-to-day procedures;Ensures equipment works as specified;Implemented by people,3
practice-test-1,6,Which of the following examples fall into the category of operational security controls?,Risk assessments,Configuration management,System backups,Authentication protocols,Patch management,,System backups;Patch management;Configuration management,3
practice-test-1,7,Which refers to controls designed to deter detect and prevent damage to material assets?,Managerial controls,Physical controls,Technical controls,Operational controls,,,Physical controls,1
practice-test-1,8,Which of the following examples do not fall into physical security controls?,Lighting,Access control vestibules,Data backups,Fencing/Bollards,Firewalls,Security guards,Data backups;Firewalls;Asset management,3
practice-test-1,9,What are examples of preventive security controls?,Encryption,IDS,Sensors,Firewalls,Warning signs,AV software,Encryption;Firewalls;AV software,3
practice-test-1,10,Examples of deterrent security controls include:,Warning signs,Sensors,Lighting,Video surveillance,Security audits,Fencing/Bollards,Warning signs;Fencing/Bollards;Lighting,3
practice-test-1,11,Which of the answers listed below refer(s) to detective security controls?,Lighting,Log monitoring,Sandboxing,Security audits,CCTV,IDS,Log monitoring;Security audits;CCTV;IDS,4
practice-test-1,12,Which of the following answers refer(s) to corrective security controls?,Recovering data from backup copies,Applying patches,Developing IRPs,Reviewing logs,Executing DRPs,,Recovering data from backup copies;Applying patches;Executing DRPs,3
practice-test-1,13,Which of the answers listed below refer(s) to compensating security control(s)?,Backup power systems,Video surveillance,MFA,Application sandboxing,Network segmentation,,Backup power systems;Application sandboxing;Network segmentation,3
practice-test-1,14,Directive security controls are implemented through policies and procedures,True,False,,,,,True,1
practice-test-1,15,Which of the following terms fall into the category of directive security controls?,IRP,AUP,IDS,MFA,IPS,,IRP;AUP,2
